date,ndiff,ncreated,nterminated,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
2021-08-20,2312,400,192,8,1,4,3,0,0,1,4,1,7,15,13,130,26,5,1,1,3,2,3,1,11,8,7,3,2,44,27,2,1,0,1,3,6,0,0,2,6,0,15,2,5,13,1,1,0,11,9,2,1,1,0,3,3,6,6,0,12,9,46,15,3,3,0,0,1,6,7,3,8,0,0,2,14,3,0,1,2,1,1,4,0,1,0,2,0,5,1,4,1,1,1,3,1
2021-08-23,2508,492,205,11,0,2,2,3,1,6,6,9,4,33,11,152,36,7,0,1,2,3,3,0,7,16,3,1,15,46,13,5,3,1,2,4,14,4,0,0,3,2,35,1,3,10,2,0,5,5,4,0,0,4,2,0,2,2,4,6,9,7,55,9,4,3,4,0,0,1,1,8,14,3,2,2,13,5,2,0,0,1,2,12,1,0,3,1,1,10,1,1,2,1,1,2,0
2021-08-24,2404,461,235,10,2,1,5,4,5,2,9,3,3,17,6,146,29,1,3,3,1,4,4,6,3,40,4,5,9,39,15,4,1,2,1,5,3,3,1,7,3,0,24,0,4,5,3,2,2,12,7,0,2,4,4,1,6,5,1,4,9,10,41,11,3,2,4,0,0,3,2,6,15,1,1,5,16,8,1,2,0,1,4,3,2,1,0,1,1,4,0,0,3,1,0,1,2
2021-08-25,2191,465,196,21,3,2,6,0,0,1,10,7,2,20,11,136,42,2,1,6,0,0,7,1,4,25,2,5,13,33,6,6,2,1,0,3,11,1,2,3,2,1,40,1,0,5,5,1,6,9,6,1,1,3,4,1,0,0,8,2,2,7,56,20,0,2,0,0,1,5,6,3,14,0,1,3,13,5,1,2,0,1,1,3,1,0,2,0,1,5,0,3,6,0,0,6,0
2021-08-26,2382,474,176,20,2,1,4,2,2,9,7,3,2,17,26,159,22,9,0,6,0,0,1,3,6,13,5,5,6,36,18,6,0,1,1,6,3,2,1,8,5,4,29,3,3,1,2,1,2,12,5,0,1,2,0,2,5,2,4,5,13,13,35,17,4,1,6,2,0,4,2,6,5,2,0,4,2,1,1,0,0,2,4,7,0,0,3,2,1,8,0,1,0,1,0,1,2
2021-08-27,2364,427,218,3,3,0,4,0,1,2,6,1,2,34,25,142,28,1,3,1,0,2,2,4,4,15,1,4,7,41,15,2,1,0,0,4,7,2,1,0,4,0,30,1,2,4,5,1,5,7,4,2,1,10,1,1,4,3,2,3,13,6,52,20,4,1,1,2,1,6,3,5,7,2,1,3,13,6,2,3,3,1,7,7,0,3,0,1,1,6,0,2,2,0,2,0,1
2021-08-30,2379,408,222,24,1,4,3,1,1,2,5,7,5,32,14,125,31,2,1,3,0,0,1,4,5,22,2,1,9,39,11,0,1,0,1,1,2,0,2,2,1,0,19,1,0,4,1,2,6,10,7,1,2,8,0,1,3,3,9,3,11,3,71,12,3,2,2,0,9,1,2,0,9,2,2,8,10,2,1,1,0,2,4,12,1,0,0,1,1,3,1,3,2,1,0,1,2
2021-08-31,2364,405,198,6,2,0,9,2,0,2,4,0,1,19,6,157,19,4,0,4,1,4,3,5,5,5,1,3,7,39,14,4,4,1,1,7,6,3,4,3,3,3,23,4,3,4,4,0,0,4,3,1,1,2,0,1,3,2,0,2,10,8,60,19,3,2,1,1,1,4,1,4,10,2,1,6,9,2,2,2,0,2,1,12,3,0,1,0,4,5,1,1,2,0,0,2,1
2021-09-01,2496,430,223,18,1,4,3,0,2,4,6,6,1,30,25,115,30,0,2,0,1,1,2,3,5,27,4,4,4,52,8,5,5,1,0,5,8,2,1,2,3,2,18,0,4,5,0,4,2,5,3,0,2,3,1,0,3,1,3,3,18,5,50,24,2,1,0,0,2,3,8,6,20,2,0,3,17,7,4,1,0,0,8,9,1,0,0,1,2,5,1,0,1,1,1,0,1
2021-09-02,2564,601,228,29,1,4,9,0,2,2,2,5,4,30,24,136,29,5,3,1,5,2,6,19,31,25,3,11,10,60,18,3,10,0,4,13,17,5,1,10,8,1,6,1,6,4,5,7,7,7,5,2,3,8,0,1,1,6,2,0,13,6,73,14,1,4,2,3,0,5,2,7,8,2,1,3,16,6,1,1,0,0,1,9,0,0,3,2,1,6,2,0,2,0,1,4,1
2021-09-03,2989,845,191,30,4,3,26,7,2,8,8,1,2,23,21,188,44,9,7,9,5,3,15,21,24,57,13,13,15,73,31,3,11,8,4,18,31,9,0,9,9,6,13,0,7,22,2,3,10,18,12,1,2,1,2,0,2,3,2,0,10,9,35,8,2,2,1,1,1,3,3,6,5,4,1,2,22,7,0,1,1,2,5,9,2,1,1,4,0,7,2,2,1,0,2,1,3
2021-09-06,3340,1087,224,14,1,2,11,5,8,8,31,3,24,90,66,278,51,14,3,6,8,14,6,12,29,45,5,3,33,105,47,5,2,2,0,8,15,7,8,11,4,1,39,4,10,13,5,4,14,13,6,0,2,6,3,1,2,3,5,4,9,3,58,7,3,4,1,0,3,2,1,8,14,6,3,3,19,5,0,0,2,2,1,6,0,0,2,2,0,12,0,2,6,0,3,5,0
